team,year,win_game,normalized_win_rate
HOU,1990,41,0.5
HOU,1991,52,0.63
HOU,1992,42,0.51
HOU,1993,55,0.67
HOU,1994,58,0.71
HOU,1995,47,0.57
HOU,1996,48,0.59
HOU,1997,57,0.7
HOU,1998,41,0.5
HOU,1999,31,0.38
HOU,2000,34,0.41
HOU,2001,45,0.55
HOU,2002,28,0.34
HOU,2003,43,0.52
HOU,2004,45,0.55
HOU,2005,51,0.62
HOU,2006,34,0.41
HOU,2007,52,0.63
HOU,2008,55,0.67
HOU,2009,53,0.65
HOU,2010,42,0.51
HOU,2011,43,0.52
HOU,2012,34,0.41
HOU,2013,45,0.55
HOU,2014,54,0.66
HOU,2015,56,0.68
HOU,2016,41,0.5
HOU,2017,55,0.67
HOU,2018,65,0.79
HOU,2019,53,0.65
HOU,2020,44,0.54
HOU,2021,17,0.21
HOU,2022,20,0.24
HOU,2023,22,0.27
HOU,2024,41,0.5
HOU,2025,52,0.63
DEN,1990,43,0.52
DEN,1991,20,0.24
DEN,1992,24,0.29
DEN,1993,36,0.44
DEN,1994,42,0.51
DEN,1995,41,0.5
DEN,1996,35,0.43
DEN,1997,21,0.26
DEN,1998,11,0.13
DEN,1999,14,0.17
DEN,2000,35,0.43
DEN,2001,40,0.49
DEN,2002,27,0.33
DEN,2003,17,0.21
DEN,2004,43,0.52
DEN,2005,49,0.6
DEN,2006,44,0.54
DEN,2007,45,0.55
DEN,2008,50,0.61
DEN,2009,54,0.66
DEN,2010,53,0.65
DEN,2011,50,0.61
DEN,2012,38,0.46
DEN,2013,57,0.7
DEN,2014,36,0.44
DEN,2015,30,0.37
DEN,2016,33,0.4
DEN,2017,40,0.49
DEN,2018,46,0.56
DEN,2019,54,0.66
DEN,2020,46,0.56
DEN,2021,47,0.57
DEN,2022,48,0.59
DEN,2023,53,0.65
DEN,2024,57,0.7
DEN,2025,47,0.57
LAL,1990,63,0.77
LAL,1991,58,0.71
LAL,1992,43,0.52
LAL,1993,39,0.48
LAL,1994,33,0.4
LAL,1995,48,0.59
LAL,1996,53,0.65
LAL,1997,56,0.68
LAL,1998,61,0.74
LAL,1999,31,0.38
LAL,2000,67,0.82
LAL,2001,56,0.68
LAL,2002,58,0.71
LAL,2003,50,0.61
LAL,2004,56,0.68
LAL,2005,34,0.41
LAL,2006,45,0.55
LAL,2007,42,0.51
LAL,2008,57,0.7
LAL,2009,65,0.79
LAL,2011,57,0.7
LAL,2012,41,0.5
LAL,2014,27,0.33
LAL,2015,21,0.26
LAL,2016,17,0.21
LAL,2017,26,0.32
LAL,2018,35,0.43
LAL,2019,37,0.45
LAL,2020,52,0.63
LAL,2021,42,0.51
LAL,2022,33,0.4
LAL,2023,43,0.52
LAL,2024,47,0.57
LAL,2025,48,0.59
GSW,1990,37,0.45
GSW,1991,44,0.54
GSW,1992,55,0.67
GSW,1993,34,0.41
GSW,1994,50,0.61
GSW,1995,26,0.32
GSW,1996,36,0.44
GSW,1997,30,0.37
GSW,1998,19,0.23
GSW,1999,21,0.26
GSW,2000,19,0.23
GSW,2001,17,0.21
GSW,2002,21,0.26
GSW,2003,38,0.46
GSW,2004,37,0.45
GSW,2005,34,0.41
GSW,2006,34,0.41
GSW,2007,42,0.51
GSW,2008,48,0.59
GSW,2009,29,0.35
GSW,2010,26,0.32
GSW,2011,36,0.44
GSW,2012,23,0.28
GSW,2013,47,0.57
GSW,2014,51,0.62
GSW,2015,67,0.82
GSW,2016,73,0.89
GSW,2017,67,0.82
GSW,2018,58,0.71
GSW,2019,57,0.7
GSW,2020,15,0.18
GSW,2021,39,0.48
GSW,2022,53,0.65
GSW,2023,44,0.54
GSW,2024,46,0.56
GSW,2025,46,0.56
MIN,1990,22,0.27
MIN,1992,15,0.18
MIN,1993,19,0.23
MIN,1994,20,0.24
MIN,1995,21,0.26
MIN,1996,26,0.32
MIN,1997,40,0.49
MIN,1998,45,0.55
MIN,1999,25,0.3
MIN,2000,50,0.61
MIN,2001,47,0.57
MIN,2002,50,0.61
MIN,2003,51,0.62
MIN,2005,44,0.54
MIN,2006,33,0.4
MIN,2007,32,0.39
MIN,2008,22,0.27
MIN,2009,24,0.29
MIN,2010,15,0.18
MIN,2011,17,0.21
MIN,2012,26,0.32
MIN,2013,31,0.38
MIN,2014,40,0.49
MIN,2015,16,0.2
MIN,2016,29,0.35
MIN,2017,31,0.38
MIN,2018,47,0.57
MIN,2019,36,0.44
MIN,2020,19,0.23
MIN,2021,23,0.28
MIN,2022,46,0.56
MIN,2023,42,0.51
MIN,2024,56,0.68
MIN,2025,46,0.56
LAC,1990,30,0.37
LAC,1991,31,0.38
LAC,1992,45,0.55
LAC,1993,41,0.5
LAC,1994,27,0.33
LAC,1995,17,0.21
LAC,1996,29,0.35
LAC,1997,36,0.44
LAC,1998,17,0.21
LAC,1999,9,0.11
LAC,2000,15,0.18
LAC,2002,39,0.48
LAC,2003,27,0.33
LAC,2004,28,0.34
LAC,2005,37,0.45
LAC,2006,47,0.57
LAC,2007,40,0.49
LAC,2008,23,0.28
LAC,2009,19,0.23
LAC,2010,29,0.35
LAC,2011,32,0.39
LAC,2012,40,0.49
LAC,2014,57,0.7
LAC,2015,56,0.68
LAC,2018,42,0.51
LAC,2019,48,0.59
LAC,2020,49,0.6
LAC,2021,47,0.57
LAC,2022,42,0.51
LAC,2023,44,0.54
LAC,2024,51,0.62
LAC,2025,46,0.56
SAC,1990,23,0.28
SAC,1991,25,0.3
SAC,1992,29,0.35
SAC,1993,25,0.3
SAC,1994,28,0.34
SAC,1995,39,0.48
SAC,1996,39,0.48
SAC,1997,34,0.41
SAC,1998,27,0.33
SAC,1999,27,0.33
SAC,2000,44,0.54
SAC,2001,55,0.67
SAC,2002,61,0.74
SAC,2003,59,0.72
SAC,2004,55,0.67
SAC,2005,50,0.61
SAC,2006,44,0.54
SAC,2007,33,0.4
SAC,2008,38,0.46
SAC,2009,17,0.21
SAC,2010,25,0.3
SAC,2011,24,0.29
SAC,2012,22,0.27
SAC,2013,28,0.34
SAC,2014,28,0.34
SAC,2015,29,0.35
SAC,2016,33,0.4
SAC,2017,32,0.39
SAC,2018,27,0.33
SAC,2019,39,0.48
SAC,2020,31,0.38
SAC,2021,31,0.38
SAC,2022,30,0.37
SAC,2023,48,0.59
SAC,2024,46,0.56
SAC,2025,38,0.46
DAL,1990,47,0.57
DAL,1991,28,0.34
DAL,1992,22,0.27
DAL,1993,11,0.13
DAL,1994,13,0.16
DAL,1995,36,0.44
DAL,1996,26,0.32
DAL,1997,24,0.29
DAL,1998,20,0.24
DAL,1999,19,0.23
DAL,2000,40,0.49
DAL,2001,53,0.65
DAL,2002,57,0.7
DAL,2003,60,0.73
DAL,2004,52,0.63
DAL,2005,58,0.71
DAL,2006,60,0.73
DAL,2007,67,0.82
DAL,2008,51,0.62
DAL,2009,50,0.61
DAL,2010,55,0.67
DAL,2011,57,0.7
DAL,2012,36,0.44
DAL,2013,41,0.5
DAL,2014,49,0.6
DAL,2015,50,0.61
DAL,2016,42,0.51
DAL,2017,33,0.4
DAL,2018,24,0.29
DAL,2019,33,0.4
DAL,2020,43,0.52
DAL,2021,42,0.51
DAL,2022,52,0.63
DAL,2023,38,0.46
DAL,2024,50,0.61
DAL,2025,38,0.46
PHO,1990,54,0.66
PHO,1991,55,0.67
PHO,1992,53,0.65
PHO,1993,62,0.76
PHO,1994,56,0.68
PHO,1995,59,0.72
PHO,1996,41,0.5
PHO,1997,40,0.49
PHO,1998,56,0.68
PHO,1999,27,0.33
PHO,2000,53,0.65
PHO,2001,51,0.62
PHO,2002,36,0.44
PHO,2003,44,0.54
PHO,2004,29,0.35
PHO,2005,62,0.76
PHO,2006,54,0.66
PHO,2007,61,0.74
PHO,2008,55,0.67
PHO,2009,46,0.56
PHO,2010,54,0.66
PHO,2011,40,0.49
PHO,2012,33,0.4
PHO,2013,25,0.3
PHO,2014,48,0.59
PHO,2015,39,0.48
PHO,2016,23,0.28
PHO,2017,24,0.29
PHO,2018,21,0.26
PHO,2019,19,0.23
PHO,2020,34,0.41
PHO,2021,51,0.62
PHO,2022,64,0.78
PHO,2023,45,0.55
PHO,2024,49,0.6
PHO,2025,35,0.43
POR,1990,59,0.72
POR,1991,63,0.77
POR,1992,57,0.7
POR,1993,51,0.62
POR,1994,47,0.57
POR,1995,44,0.54
POR,1996,44,0.54
POR,1997,49,0.6
POR,1998,46,0.56
POR,1999,35,0.43
POR,2000,59,0.72
POR,2001,50,0.61
POR,2002,49,0.6
POR,2003,50,0.61
POR,2004,41,0.5
POR,2005,27,0.33
POR,2006,21,0.26
POR,2007,32,0.39
POR,2008,41,0.5
POR,2009,54,0.66
POR,2012,28,0.34
POR,2013,33,0.4
POR,2014,54,0.66
POR,2015,51,0.62
POR,2016,44,0.54
POR,2017,41,0.5
POR,2018,49,0.6
POR,2019,53,0.65
POR,2020,35,0.43
POR,2021,42,0.51
POR,2022,27,0.33
POR,2023,33,0.4
POR,2024,21,0.26
POR,2025,35,0.43
